Organization,Ftype,RoundUSS,Investor,NXTP Labs,Monashees,Kaszek Ventures,Mountain Nazca,Redpoint eventures,Bozano Investimentos,Aurus,Investo,Alta Ventures Mexico,ALLVP,Angel Ventures,IGNIA,CRP Companhia de Participaçõe,e.Bricks Ventures,Confrapar,Magma Partners,CORFO,SP Ventures,DGF Investimentos,Mercado Libre Fund,Inseed Investimentos,Criatec 2,Astella Investimentos,DILA Capital,Velum Ventures,FCP,Scale Capital,Alaya Capital,Polymath,Primary Ventures,T2m Capital,Omidyar Network,Elevar Equity,Quona Capital,Gray Matters Capital,Performa Investimentos,Vox Capital,Promotora Social México,Pomona Impact,MOV Investimentos
uMov.me,Venture - Series Unknown,"1,532,780.00","CRP Companhia de Participaçõe, CVENTURES",,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
MURAL,Seed,"1,350,000.00","Alta Ventures Mexico, Collaborative Fund, Intel Capital, NXTP Labs",1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gurucargo.com,Series A,"1,300,000.00","Angel Ventures, Auria Capital, Eduardo Mangarelli, Martin Naor",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Inc,Seed,  ,Mountain Nazca,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urbvan,Angel,  ,Mountain Nazca,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrofy,Venture - Series Unknown,  ,NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pousta,Seed,  ,Magma Partners,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Clinc!,Convertible Note,"300,000.00","Enterprise Angels, Mercado Libre Fund",,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Signatura,Seed,  ,NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algenis,Venture - Series Unknown,  ,Aurus,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nanox,Seed,"731,421.88","Bozano Investimentos, Criatec 2",,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Creditas,Series A,"4,500,000.00","Kaszek Ventures, QED Investors, Quona Capital, Redpoint eventures",,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
InCeres,Series A,"731,421.88",SP Ventures,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Agronow Tecnologia,Series A,"731,421.88",SP Ventures,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Maker.do,Seed,  ,Magma Partners,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Aplazame,Seed,"€ 1,200,000","ALLVP, Cabiedes & Partners",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strider,Series A,"3,000,000.00","Barn Investments, Monashees, Qualcomm Ventures",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medcell,Private Equity,  ,Bozano Investimentos,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joy Street,Seed,"585,137.51","Bozano Investimentos, Criatec 2",,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
AmberAds,Seed,"85,000.00",Magma Partners,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Konfio,Series A,"8,000,000.00","Jaguar Ventures, Kaszek Ventures, QED Investors, Quona Capital",,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Agrosmart,Seed,"1,000,000.00","Baita Accelerator, SP Ventures",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Skore,Seed,"650,000.00","Barn Investments, Leonardo Teixeira, Redpoint eventures, Wayra",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Properati,Series B,"2,500,000.00","NEVEQ, NXTP Labs, Telor International",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GuiaBolso,Series C,"17,000,000.00","International Finance Corporation, Kaszek Ventures, QED Investors, Ribbit Capital",,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AppProva,Series A,  ,e.Bricks Ventures,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Nubleer Media,Series A,  ,Mountain Nazca,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rappi,Seed,  ,"Augusta Investments LLC (Urizen), BoomStartup, Ding Zhou, FundersClub, INVX, Palm Drive Capital, Plug and Play, Redpoint eventures, S2 Capital, Samvit Ramadurgam, StartCaps Ventures, Streamlined Ventures, XG Ventures, Zak Tanjeloff",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chipus Microelectronics,Seed,"704,423.78",Bozano Investimentos,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compass,Seed,"704,423.78","Bozano Investimentos, Criatec 2",,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
FAV,Venture - Series Unknown,  ,NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zolvers,Venture - Series Unknown,  ,NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Satellogic,Venture - Series Unknown,  ,NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lab4U,Venture - Series Unknown,  ,NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mofiler,Venture - Series Unknown,  ,NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boxi Sleep,Seed,  ,Velum Ventures,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Tu Canton,Venture - Series Unknown,  ,"Angel Ventures, DILA Capital",,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
ChefsClub,Series B,"800,000.00",Confrapar,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Rock Content,Series A,  ,e.Bricks Ventures,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Guiche Virtual,Series A,  ,Kaszek Ventures,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beek,Seed,"125,000.00",Investo,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHP Brasil,Series A,"2,112,081.10",Inseed Investimentos,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Human Inc,Seed,"5,000,000.00","Darling Ventures, Kurt Beecher Dammeier, Microsoft, Mountain Nazca, Sage Venture Partners",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kueski,Series A,"10,000,000.00","Angel Ventures, Auria Capital, Core Ventures Group, CrunchFund, Endeavor Catalyst, Richmond Global Ventures, Rise Capital, VARIV Capital",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornershop,Series A,"6,700,000.00","Accel, ALLVP, Creandum, Endeavor Catalyst, Grupo Bimbo, Jackson Square Ventures, NMT Network",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passei Direto,Series B,"6,300,000.00","Bozano Investimentos, e.ventures",,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMGN Media,Seed,"1,500,000.00","2B Angels, Ariel Arrieta, Daniel Recanati, Dougles Cohen, Gil Canaani, Jason Dimberg, Nishkaam Mehta, NXTP Labs, Oded Hermoni, Oded Vardi, Rajesh Sawhney, Rhodium, Yaron Kniajer",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Procesa Chiapas,Venture - Series Unknown,  ,"Endeavor Catalyst, IGNIA",,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Destácame,Seed,  ,"Accion Venture Lab, Catalyst Fund, Mountain Nazca",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wondery,Venture - Series Unknown,  ,"Michael Kassan, NXTP Labs",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueOpex,Series B,  ,Confrapar,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Luuna,Seed,"851,638.84","Mountain Nazca, Mountain Partners",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unima,Seed,"1,633,000.00","Avalancha Ventures, Dadneo, Dan Knox, Elizabeth Iorns, Eric Urhane, Genesis Capital Ventures, Investo, Matt Cutts, Paul Buchheit, Social Capital, Sohail Prasad, SP Investment Fund, Thomas James, Tomas James, Y Combinator",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Producteca,Seed,  ,"Jaguar Ventures, Mercado Libre Fund, Wayra",,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Mandaê,Series A,"2,500,000.00","Monashees, Qualcomm Ventures, Valor Capital Group",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jooycar,Seed,"150,000.00",Magma Partners,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Dr.Consulta,Series B,"25,899,907.00",Kaszek Ventures,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AmberAds,Seed,"23,000.00",Magma Partners,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Asistia,Seed,  ,Investo,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iVoy,Series A,  ,"DILA Capital, Soldiers Field Angels, Stella Maris Partners, VARIV Capital",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Onko Solutions,Series A,"1,600,000.00","Angel Ventures, NEOPLUS S.A. DE C.V., Promotora Social México",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
weex,Series A,  ,"ALLVP, Coca-Cola Enterprises",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bankity,Seed,  ,Magma Partners,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
QuintoAndar,Series A,"7,000,000.00","Brian Requarth, GE32 Capital, Kaszek Ventures",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MisAbogados.com,Seed,"150,000.00",Mountain Nazca,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alquilando,Pre-Seed,"300,000.00","NXTP Labs, Troopa",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WebRadar,Venture - Series Unknown,"9,866,798.22","DGF Investimentos, Intel Capital, Qualcomm Ventures",,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
EchoPixel,Venture - Series Unknown,"1,749,998.00",Aurus,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salud Fácil,Venture - Series Unknown,"400,000.00",ALLVP,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pipefy,Venture - Series Unknown,"2,537,500.00","500 Startups, Alexander Aghassipour, FundersClub, Ignacio Canals, Lee Jacobs, Morten Primdahl, Redpoint eventures, Trinity Ventures, Valor Capital Group",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platzi,Seed,"2,100,000.00","500 Startups, Mountain Nazca, Omidyar Network, TA Ventures",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Nubank,Series C,"52,000,000.00","Founders Fund, Kaszek Ventures, Sequoia Capital, Tiger Global Management",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olist,Series A,"1,000,000.00",Redpoint eventures,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CargoX,Series A,"4,000,000.00","Ambassador Clifford Sobel, NXTP Labs, Oscar Salazar, Valor Capital Group",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EZ Commerce,Seed,"616,674.89",Bozano Investimentos,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocket.La,Seed,  ,"500 Startups, Angel Ventures",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcus,Seed,"4,000,000.00","Chilango Ventures, Enlaces, HOF Capital, Investo, Kapor Capital, Select Venture Partners",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meloncargo,Convertible Note,  ,Mercado Libre Fund,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Salud Fácil,Series B,  ,"ALLVP, Angel Ventures",,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROWDIUM,Seed,"500,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HigherMe,Seed,"120,000.00",Investo,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingresse,Series B,  ,"DGF Investimentos, e.Bricks Ventures, Qualcomm Ventures",,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,
Pinmypet,Seed,"646,161.80","Bozano Investimentos, Criatec Fund, Triaxis Capital",,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClubVenta,Venture - Series Unknown,  ,Aurus,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moneto,Seed,"600,000.00","Romero Rodrigues, SP Ventures",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Clip,Series A,"8,000,000.00","Alta Ventures Mexico, American Express Ventures, Angel Ventures, Fondo de Fondos, Sierra Ventures",,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PingStamp,Seed,"300,000.00",Investo,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSOM,Seed,  ,"Angel Ventures, Capital Indigo",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dot Legend,Seed,"310,157.66","Bozano Investimentos, Criatec 2, Triaxis Capital",,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Fumajet,Seed,"646,161.80",Bozano Investimentos,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BuscaLibre,Venture - Series Unknown,  ,Aurus,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merqueo,Venture - Series Unknown,  ,Velum Ventures,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
VISOR ADL,Seed,"500,000.00","500 Startups, ALLVP",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EZ Commerce,Venture - Series Unknown,"661,725.78",Criatec 2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Cornershop,Seed,"1,450,000.00",ALLVP,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farmacias Personalizadas,Series B,"20,000,000.00",ALLVP,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Itaro,Series B,"2,646,903.12","Astella Investimentos, Rigi Ventures",,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
S-Save,Seed,  ,"Magma Partners, Nathan Lustig",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Yller,Seed,"397,035.47","Bozano Investimentos, Criatec 2",,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Neoway,Series A,  ,"Accel, Endeavor Catalyst, Monashees",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kickoff,Seed,"1,600,000.00",Monashees,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VRTIFY,Seed,"3,200,000.00",Angel Ventures,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tienda Nube,Series A,  ,Kaszek Ventures,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akmey Biotecnologia Têxtil,Series A,"902,992.78",Inseed Investimentos,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
PropertySimple,Seed,"350,000.00","Magma Partners, Nathan Lustig",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Estrategia Energía Eléctrica,Seed,"150,000.00",ALLVP,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEWE (formerly miora),Venture - Series Unknown,"4,000,000.00","Mountain Nazca, Seaya Ventures, VARIV Capital",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geofusion,Private Equity,"9,029,927.76",DGF Investimentos,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Wideo,Seed,"220,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocket.La,Seed,"400,000.00","500 Startups, Angel Ventures",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drivin,Seed,"350,000.00",Mountain Nazca,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real Trends,Convertible Note,  ,Mercado Libre Fund,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Parrable,Series A,  ,Angel Ventures,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nuvem Shop,Series A,  ,Kaszek Ventures,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omiexperience,Venture - Series Unknown,  ,Astella Investimentos,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
IguanaFix,Series A,"3,000,000.00","Angel Ventures, Riverwood Capital, Soldiers Field Angels",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cliever,Seed,"641,683.78","Bozano Investimentos, Triaxis Capital",,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERPFlex,Series A,  ,e.Bricks Ventures,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Tab,Seed,  ,"Chris Eyre, DeNA, Investo",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genotyping,Series A,"1,026,694.05",SP Ventures,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Nubleer Media,Seed,  ,Mountain Nazca,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nutrebem,Venture - Series Unknown,"1,001,026.69","Barn Investments, Confrapar, Lab22.co",,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Kueski,Series A,  ,Angel Ventures,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GearTranslations,Seed,"200,000.00","Bbooster Ventures, NXTP Labs, The Road Project",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hive,Seed,"641,683.78","Bozano Investimentos, Criatec 2",,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
ALavadeira,Series A,"1,820,768.14","CRP Companhia de Participaçõe, CVENTURES",,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
DogHero,Seed,  ,"Kaszek Ventures, Marcelo Sampaio, Mauricio Feldman",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memed,Funding Round,"500,000.00","Monashees, Qualcomm Ventures, Redpoint eventures",,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algenis,Venture - Series Unknown,  ,Aurus,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GuiaBolso,Series B,"7,000,000.00","e.Bricks Ventures, Ed Baker, Kaszek Ventures, Mark Goines, Omidyar Network, QED Investors, Ribbit Capital, Richmond Global Ventures, Valor Capital Group",,,1,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,
Xerpa,Venture - Series Unknown,"485,329.00","Kaszek Ventures, Redpoint eventures",,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oolu,Seed,  ,"Investo, Y Combinator",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inventive Power,Venture - Series Unknown,"754,529.11",Angel Ventures,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colchones REM,Seed,  ,Velum Ventures,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
BRIGHT,Seed,"4,000,000.00","Daniel Gross, Felicis Ventures, First Round Capital, Investo, Max Levchin, Patrick Collison",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creditas,Series A,"3,000,000.00","e.ventures, QED Investors, Quona Capital, Redpoint eventures",,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Ecommet,Convertible Note,  ,Mercado Libre Fund,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Colppy,Seed,  ,Velum Ventures,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Magnetis,Seed,"1,000,000.00","500 Startups, Guilherme Horn, Monashees, NH Investimentos, Redpoint eventures, Sergio Furio",,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ibushak,Convertible Note,  ,Mercado Libre Fund,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
00K E-Commerce Tools,Convertible Note,  ,Mercado Libre Fund,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Visent,Seed,"711,237.55","Bozano Investimentos, Criatec 2",,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
123Reformei,Seed,  ,Redpoint eventures,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pipefy,Seed,"200,000.00","500 Startups, Redpoint eventures, Valor Capital Group",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RD Station,Series B,"4,652,605.46","Astella Investimentos, DGF Investimentos, Redpoint eventures",,,,,1,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,
ShiftLabs,Seed,"1,219,500.00","Investo, Jay Zaveri",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSafe Technology,Series D,"30,000,000.00","e.ventures, Grupo Xango, Pinnacle Ventures, Qihoo 360 Technology, Redpoint, Redpoint eventures",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornershop,Seed,"2,500,000.00","Alexander Torrenegra, ALLVP, Ariel Poler, Christian Wiklund, Fredrik Björk, Greg Gretsch, Mike Hennessey, Niklas Lindstrom, Oscar Salazar, Wensceslao Casares, ZT Labs",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inventive Power,Seed,  ,"Angel Ventures, Auria Capital",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCO,Seed,"775,434.24","Bozano Investimentos, Criatec 2",,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Joy Street,Seed,"775,434.24","Bozano Investimentos, Criatec 2, Triaxis Capital",,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
gurucargo.com,Seed,  ,"Angel Ventures, Asenza Capital",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brasil Ozônio,Seed,"775,434.24","Bozano Investimentos, Criatec 2, Triaxis Capital",,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Econduce,Seed,  ,"DILA Capital, Ideas & Capital",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Contabilizei,Seed,  ,Kaszek Ventures,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GetNinjas,Series B,"12,857,602.06","Kaszek Ventures, Monashees, Tiger Global Management",,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lupeon,Series A,"1,125,040.18",SP Ventures,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Mercos,Venture - Series Unknown,"1,928,640.31","Monashees, Qualcomm Ventures",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jott,Venture - Series Unknown,"1,200,000.00","500 Startups, Alta Ventures Mexico, Chris Michel, Lerer Hippeau, Monashees",,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FormaFina,Seed,"2,165,000.00","500 Startups, ALLVP, INVX, NXTP Labs, Plug and Play, Redpoint eventures, South Ventures, Velum Ventures",1,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Nubank,Series B,"30,000,000.00","Kaszek Ventures, QED Investors, Sequoia Capital, Tiger Global Management",,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semtive,Seed,"25,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motormax,Seed,"125,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReservaTurno,Seed,"25,000.00",NXTP Labs,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hogaru,Angel,"560,000.00","Velum Ventures, Wayra",,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
TappTime,Seed,  ,Mountain Nazca,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petsy,Venture - Series Unknown,  ,Mountain Nazca,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aliada,Seed,"800,000.00","Capital Invent, DILA Capital, VARIV Capital",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Pipedrive,Seed,"1,000,000.00",Monashees,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EduK,Series B,"10,000,000.00","Accel, Felicis Ventures, Monashees",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biva,Seed,  ,Kaszek Ventures,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unbabel,Seed,"1,500,000.00","Caixa Capital, Investo, Terrence Rohan, Workday Ventures",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
